item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|harga|keyword_ulasan|detail|url
TOBAHOTL0035|HOMESTAY OP.MARTAHAN toba|HOMESTAY OP.MARTAHAN toba|2.343866|99.0749879|4,8|5|Tidak ada informasi harga|Tidak ada keyword|Tidak ada detail fasilitas|https://www.google.com/maps/search/HOMESTAY+OP.MARTAHAN+kabupaten+toba
TOBAHOTL0036|HOMESTAY PANCA toba|HOMESTAY PANCA toba|2.4992992|99.0039381|4,8|10|Tidak ada informasi harga|Rating, Jam Buka, Semua filter|Filter yang untuk penelusuran ini|https://www.google.com/maps/search/HOMESTAY+PANCA+kabupaten+toba
TOBAHOTL0037|Homestay Ramoti toba|Homestay ramoti|2.3430748|99.0723139|4,9|Tidak ada ulasan|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Homestay+Ramoti+kabupaten+toba
TOBAHOTL0038|Homestay Rikets toba|Homestay Rikets toba|2.4961964|99.0102409|4,8|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini, Parkir gratis, Sarapan, Boleh bawa hewan, Kolam renang, Wi-Fi gratis, Wi-Fi|https://www.google.com/maps/search/Homestay+Rikets+kabupaten+toba
TOBAHOTL0039|Homestay Rindu toba|Homestay Rindu toba|2.3478513|99.0736883|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Homestay+Rindu+kabupaten+toba
TOBAHOTL0040|Homestay Suteja toba|Homestay Suteja toba|2.3482619|99.0743753|5,0|1|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Homestay+Suteja+kabupaten+toba
TOBAHOTL0041|Homestay Toba Nauli toba|Homestay Toba Nauli toba|2.3968562|99.1222861|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://www.google.com/maps/search/Homestay+kabupaten+Toba+Nauli+kabupaten+toba
TOBAHOTL0042|Homestay Tulus toba|Homestay Tulus toba|2.3478269|99.0732472|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Homestay+Tulus+kabupaten+toba
TOBAHOTL0043|HOMESTAY VOSTEL PASIR PUTIH toba|HOMESTAY VOSTEL PASIR PUTIH toba|2.432578|99.1541892|4,3|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://www.google.com/maps/search/HOMESTAY+VOSTEL+PASIR+PUTIH+kabupaten+toba
TOBAHOTL0044|HOTEL ALMON SARI toba|HOTEL ALMON SARI toba|2.2872982|99.008317|4,2|20|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/HOTEL+ALMON+SARI+kabupaten+toba
TOBAHOTL0045|HOTEL GRAND TOBA toba|HOTEL GRAND TOBA toba|2.5008024|98.998421|4,5|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini, Kolam renang, Parkir gratis, Wi-Fi gratis, AC, Sarapan gratis, Sarapan|https://www.google.com/maps/search/HOTEL+GRAND+kabupaten+TOBA+kabupaten+toba
TOBAHOTL0046|HOTEL ITA toba|HOTEL ITA toba|2.3270655|99.0499578|4,4|172|Tidak ada informasi harga|Tidak ada keyword|Wi-Fi gratis, Sarapan, Parkir gratis, AC, Layanan binatu, Layanan kamar, Cocok untuk anak-anak, Restoran|https://www.google.com/maps/search/HOTEL+ITA+kabupaten+toba
